"key","source","context","af","ar","bn","zh-CN","zh-TW","cs","nl","en","et","fr","de","el","he","hi","hu","id","it","ja","ko","no","fa","pl","pt-PT","ru","es-ES","sv-SE","tr","uk","vi"
"TR_STATUS_UNKNOWN","Status unknown","Device status","Status unknown","Status unknown","Status unknown","Status unknown","Status unknown","Status unknown","Status unknown","Status unknown","Status unknown","Status unknown","Status unknown","Status unknown","Status unknown","Status unknown","Status unknown","Status unknown","Status unknown","Status unknown","Status unknown","Status unknown","Status unknown","Status unknown","Status unknown","Статус неизвестен","Status unknown","Status unknown","Status unknown","Незнамий статус","Status unknown"
"TR_TERMS","Terms","As in Terms and Conditions, In the bottom footer","Terms","Terms","শর্তাবলী","条款","條款","Podmínky","Termen","Terms","Terms","Conditions","Bedingungen","Όροι","תנאי שימוש","Terms","Feltételek","Persyaratan Layanan","Termini","利用規約","약관","Terms","Terms","Warunki","Termos","Условия","Términos","Villkor","Şartlar","Умови","Điều khoản"
"TR_EXCHANGE_RATES_BY","Exchange rates by {service}","","Exchange rates by {service}","Exchange rates by {service}","Exchange rates by {service}","Exchange rates by {service}","Exchange rates by {service}","Exchange rates by {service}","Exchange rates by {service}","Exchange rates by {service}","Exchange rates by {service}","Exchange rates by {service}","Exchange rates by {service}","Exchange rates by {service}","Exchange rates by {service}","Exchange rates by {service}","Exchange rates by {service}","Exchange rates by {service}","Exchange rates by {service}","Exchange rates by {service}","Exchange rates by {service}","Exchange rates by {service}","Exchange rates by {service}","Exchange rates by {service}","Exchange rates by {service}","Курсы валют на {service}","Tipos de cambio para {service}","Exchange rates by {service}","Exchange rates by {service}","Курси валют на {service}","Exchange rates by {service}"
"TR_WE_THANK_OUR_TRANSLATORS","We thank our translators for their {TR_CONTRIBUTION}","","We thank our translators for their {TR_CONTRIBUTION}","We thank our translators for their {TR_CONTRIBUTION}","We thank our translators for their {TR_CONTRIBUTION}","We thank our translators for their {TR_CONTRIBUTION}","We thank our translators for their {TR_CONTRIBUTION}","We thank our translators for their {TR_CONTRIBUTION}","We thank our translators for their {TR_CONTRIBUTION}","We thank our translators for their {TR_CONTRIBUTION}","We thank our translators for their {TR_CONTRIBUTION}","We thank our translators for their {TR_CONTRIBUTION}","We thank our translators for their {TR_CONTRIBUTION}","We thank our translators for their {TR_CONTRIBUTION}","We thank our translators for their {TR_CONTRIBUTION}","We thank our translators for their {TR_CONTRIBUTION}","We thank our translators for their {TR_CONTRIBUTION}","We thank our translators for their {TR_CONTRIBUTION}","We thank our translators for their {TR_CONTRIBUTION}","We thank our translators for their {TR_CONTRIBUTION}","We thank our translators for their {TR_CONTRIBUTION}","We thank our translators for their {TR_CONTRIBUTION}","We thank our translators for their {TR_CONTRIBUTION}","We thank our translators for their {TR_CONTRIBUTION}","We thank our translators for their {TR_CONTRIBUTION}","Мы благодарим наших переводчиков за их {TR_CONTRIBUTION}","Gracias a nuestros traductores para la {TR_CONTRIBUTION}","We thank our translators for their {TR_CONTRIBUTION}","We thank our translators for their {TR_CONTRIBUTION}","Ми дякуємо нашим перекладачам за їх {TR_CONTRIBUTION}","We thank our translators for their {TR_CONTRIBUTION}"
"TR_CONTRIBUTION","contribution","Part of the sentence: We thank our translators for their contribution","contribution","contribution","contribution","contribution","contribution","contribution","contribution","contribution","contribution","contribution","contribution","contribution","contribution","contribution","contribution","contribution","contribution","contribution","contribution","contribution","contribution","contribution","contribution","вклад","contribución","contribution","contribution","внесок","contribution"
"TR_MENU","Menu","Mobile sidebar toggler","Menu","Menu","Menu","Menu","Menu","Menu","Menu","Menu","Menu","Menu","Menu","Menu","Menu","Menu","Menu","Menu","Menu","Menu","Menu","Menu","Menu","Menu","Menu","Меню","Menú","Menu","Menu","Меню","Menu"
"TR_MENU_CLOSE","Close","Used on button for closing sidebar menu","Close","Close","বন্ধ করুন","关闭","關閉","Zavřít","Sluiten","Close","Sulge","Fermer","Schließen","Κλείσιμο","סגירה","Close","Bezár","Tutup","Chiudi","閉じる","닫기","Lukk","Close","Zamknij","Fechar","Закрыть","Cerrar","Stäng","Kapat","Закрити","Đóng"
"TR_TREZOR","Trezor","Link in header navigation","Trezor","Trezor","Trezor","Trezor","Trezor","Trezor","Trezor","Trezor","Trezor","Trezor","Trezor","Trezor","Trezor","Trezor","Trezor","Trezor","Trezor","Trezor","Trezor","Trezor","Trezor","Trezor","Trezor","Trezor","Trezor","Trezor","Trezor","Trezor","Trezor"
"TR_WIKI","Wiki","Link in header navigation","Wiki","Wiki","Wiki","Wiki","Wiki","Wiki","Wiki","Wiki","Wiki","Wiki","Wiki","Wiki","Wiki","Wiki","Wiki","Wiki","Wiki","Wiki","Wiki","Wiki","Wiki","Wiki","Wiki","Вики","Wiki","Wiki","Wiki","Вікі","Wiki"
"TR_BLOG","Blog","Link in header navigation","Blog","Blog","Blog","Blog","Blog","Blog","Blog","Blog","Blog","Blog","Blog","Blog","Blog","Blog","Blog","Blog","Blog","Blog","Blog","Blog","Blog","Blog","Blog","Блог","Blog","Blog","Blog","Блог","Blog"
"TR_SUPPORT","Support","Link in header navigation","Support","Support","সহায়তা","支持","技術支持","Zákaznická Podpora","Ondersteuning","Support","Support","Assistance","Support","Υποστήριξη","תמיכה","Support","Támogatás","Bantuan","Supporto","サポート","지원","Support","Support","Wsparcie","Suporte","Поддержка","Soporte","Support","Destek","Підтримка","Hỗ trợ"
"TR_ATTENTION_COLON_THE_LOG_CONTAINS","Attention: The log contains your XPUBs. Anyone with your XPUBs can see your account history.","","Attention: The log contains your XPUBs. Anyone with your XPUBs can see your account history.","Attention: The log contains your XPUBs. Anyone with your XPUBs can see your account history.","দৃষ্টি আকর্ষণ: লগটি আপনার XPUBs ধারণ করে। XPUBs ধারি যে কেউ আপনার অ্যাকাউন্টের ইতিহাস দেখতে পারবে।","注意：日志中包含您的 XPUB。任何持有您的 XPUB 的人都可以看到您的账户历史记录。","Attention: The log contains your XPUBs. Anyone with your XPUBs can see your account history.","Varování: Tento log může obsahovat Váš XPUB. Pokud jej předáte třetí straně, umožňujete jí vidět celou Vaši transakční historii.","Waarschuwing: Dit logboek kan uw XPUB bevatten. Wanneer je aan anderen geeft, kunnen die uw hele transactiegeschiedenis bekijken.","Attention: The log contains your XPUBs. Anyone with your XPUBs can see your account history.","Tähelepanu: Logi sisaldab teie XPUBi. Igaüks kellel on ligipääs teie XPUBile saab näha teie konto ajalugu.","Attention : ce journal contient vos XPUB. Quiconque ayant accès à vos XPUB peut consulter l'historique de votre compte.","Warnung: Dieser Log enthält Ihre XPUBs. Dritte können über Ihre XPUBs Ihren gesamten Transaktionsverlauf einsehen.","Προειδοποίηση: Αυτό το αρχείο καταγραφής μπορεί να περιέχει τα XPUB σας. Όταν το δίνετε σε τρίτους, του επιτρέπετε να δει όλο το ιστορικό συναλλαγής.","אזהרה: יומן הרישום מכיל את המפתחות הציבוריים של החשבון (XPUB). אדם עם גישה ל XPUB יכול לראות את היסטוריית החשבון שלכם.","Attention: The log contains your XPUBs. Anyone with your XPUBs can see your account history.","Figyelem: A naplófájl XPUBs kódot tartalmaz. Ezt felhasználva bárki láthatja az ön fióktörténetét.","Attention: The log contains your XPUBs. Anyone with your XPUBs can see your account history.","Attenzione: il file di log contiene le tue XPUB. Con le tue XPUB, chiunque può vedere la storia del tuo account.","警告: ログにはあなたのXPUBが含まれています。第三者にXPUBが渡ってしまうと、すべての取引履歴を閲覧されてしまいます。","주의: 로그에 회원님의 XPUB가 포함되어 있습니다. 회원님의 XPUB를 사용하여 누군가가 회원님의 계정 내역을 볼 수 있습니다.","Attention: The log contains your XPUBs. Anyone with your XPUBs can see your account history.","Attention: The log contains your XPUBs. Anyone with your XPUBs can see your account history.","Ostrzeżenie: Ten dziennik może zawierać Twój klucz XPUB. Gdy dasz go osobom trzecim, może on pozwolić im zobaczyć historię wszystkich transakcji.","Aviso: Este log pode conter sua XPUB. Se você fornecê-lo para terceiros, permitirá que vejam todo o seu histórico de transações.","Внимание: этот журнал содержит Ваши XPUB, по которым посторонние люди смогут увидеть историю операций Вашего счета.","Advertencia: Este registro puede contener sus XPUB. Cualquiera con sus XPUB podrá ver su historial de transacciones.","Uppmärksamma: Loggen innehåller dina XPUBs. Den som har dem kan se ditt kontos historik.","Dikkat: Sıralı kayıtlar XPUB'larınızı içerir. XPUB'ları elde eden kişiler, geçmiş hesap hareketlerinizi görebilir.","Попередження: Цей журнал може містити Ваш XPUB. Надаючи його третій стороні, Ви тим самим дозволяєте побачити історію Ваших транзакцій.","Chú ý: Các bản ghi có chứa XPUBs của bạn. Bất cứ ai có XPUBs của bạn có thể xem lịch sử tài khoản của bạn."
"TR_LOG","Log","application event and error","Log","Log","লগ","日志","日誌","Log","Logboek","Log","Logi","Journal","Log","Αρχείο καταγραφής","יומן רישום","Log","Napló","Log","Log","ログ","로그","Logg","Log","Dziennik","Log","Журнал","Registro","Logg","Sıralı kayıt","Журнал","Bản ghi"
"TR_COPY_TO_CLIPBOARD","Copy to clipboard","","Copy to clipboard","Copy to clipboard","Copy to clipboard","Copy to clipboard","Copy to clipboard","Copy to clipboard","Copy to clipboard","Copy to clipboard","Copy to clipboard","Copy to clipboard","Copy to clipboard","Copy to clipboard","Copy to clipboard","Copy to clipboard","Copy to clipboard","Copy to clipboard","Copy to clipboard","Copy to clipboard","Copy to clipboard","Copy to clipboard","Copy to clipboard","Copy to clipboard","Copy to clipboard","Копировать в буфер","Copiar en el portapapeles","Copy to clipboard","Copy to clipboard","Скопіювати до буфера обміну","Copy to clipboard"
"TR_COPIED","Copied!","","Copied!","Copied!","Copied!","Copied!","Copied!","Copied!","Copied!","Copied!","Copied!","Copied!","Copied!","Copied!","Copied!","Copied!","Copied!","Copied!","Copied!","Copied!","Copied!","Copied!","Copied!","Copied!","Copied!","Скопировано!","¡Copiado!","Copied!","Copied!","Скопійовано!","Copied!"
"TR_CONFIRM_ACTION_ON_YOUR","Confirm action on your Trezor","","Confirm action on your Trezor","Confirm action on your Trezor","Confirm action on your Trezor","在您的 Trezor 上确认操作","Confirm action on your Trezor","Potvrďte akci na Vašem Trezoru","Confirm action on your Trezor","Confirm action on your Trezor","Confirm action on your Trezor","Confirmez l'action sur votre Trezor","Aktion auf dem Trezor bestätigen","Confirm action on your Trezor","Confirm action on your Trezor","Confirm action on your Trezor","Confirm action on your Trezor","Confirm action on your Trezor","Confirm action on your Trezor","Trezorで操作を確認してください","Trezor에서 작업 확인","Confirm action on your Trezor","Confirm action on your Trezor","Confirm action on your Trezor","Confirm action on your Trezor","Подтвердите действие на Trezor","Confirme la acción en su Trezor","Confirm action on your Trezor","Confirm action on your Trezor","Підтвердіть дію на Вашому Trezor","Confirm action on your Trezor"
"TR_CONFIRM_ADDRESS_ON_TREZOR","Confirm address on Trezor","","Confirm address on Trezor","Confirm address on Trezor","Confirm address on Trezor","Confirm address on Trezor","Confirm address on Trezor","Confirm address on Trezor","Confirm address on Trezor","Confirm address on Trezor","Confirm address on Trezor","Confirm address on Trezor","Confirm address on Trezor","Confirm address on Trezor","Confirm address on Trezor","Confirm address on Trezor","Confirm address on Trezor","Confirm address on Trezor","Confirm address on Trezor","Confirm address on Trezor","Confirm address on Trezor","Confirm address on Trezor","Confirm address on Trezor","Confirm address on Trezor","Confirm address on Trezor","Подтвердите адрес на Trezor","Compruebe la dirección en la pantalla del Trezor","Confirm address on Trezor","Confirm address on Trezor","Підтвердiть адресу на Trezor","Confirm address on Trezor"
"TR_PLEASE_COMPARE_YOUR_ADDRESS","Please compare your address on device with address shown bellow","","Please compare your address on device with address shown bellow","Please compare your address on device with address shown bellow","Please compare your address on device with address shown bellow","Please compare your address on device with address shown bellow","Please compare your address on device with address shown bellow","Please compare your address on device with address shown bellow","Please compare your address on device with address shown bellow","Please compare your address on device with address shown bellow","Please compare your address on device with address shown bellow","Please compare your address on device with address shown bellow","Please compare your address on device with address shown bellow","Please compare your address on device with address shown bellow","Please compare your address on device with address shown bellow","Please compare your address on device with address shown bellow","Please compare your address on device with address shown bellow","Please compare your address on device with address shown bellow","Please compare your address on device with address shown bellow","Please compare your address on device with address shown bellow","Please compare your address on device with address shown bellow","Please compare your address on device with address shown bellow","Please compare your address on device with address shown bellow","Please compare your address on device with address shown bellow","Please compare your address on device with address shown bellow","Пожалуйста, сравните Ваш адрес на устройстве с адресом, показанным ниже","Compare por favor su dirección en el dispositivo con la dirección que aparece abajo","Please compare your address on device with address shown bellow","Please compare your address on device with address shown bellow","Будь ласка, порівняйие Вашу адресу на пристрої з адресою, вказаною нижче","Please compare your address on device with address shown bellow"
"TR_CONFIRM_TRANSACTION_ON","Confirm transaction on {deviceLabel} device","","Confirm transaction on {deviceLabel} device","Confirm transaction on {deviceLabel} device","Confirm transaction on {deviceLabel} device","Confirm transaction on {deviceLabel} device","Confirm transaction on {deviceLabel} device","Confirm transaction on {deviceLabel} device","Confirm transaction on {deviceLabel} device","Confirm transaction on {deviceLabel} device","Confirm transaction on {deviceLabel} device","Confirm transaction on {deviceLabel} device","Confirm transaction on {deviceLabel} device","Confirm transaction on {deviceLabel} device","Confirm transaction on {deviceLabel} device","Confirm transaction on {deviceLabel} device","Confirm transaction on {deviceLabel} device","Confirm transaction on {deviceLabel} device","Confirm transaction on {deviceLabel} device","Confirm transaction on {deviceLabel} device","Confirm transaction on {deviceLabel} device","Confirm transaction on {deviceLabel} device","Confirm transaction on {deviceLabel} device","Confirm transaction on {deviceLabel} device","Confirm transaction on {deviceLabel} device","Подтвердите транзакцию на устройстве {deviceLabel}","Confirme transacción en el dispositivo {deviceLabel}","Confirm transaction on {deviceLabel} device","Confirm transaction on {deviceLabel} device","Підтвердiть транзакцiю на пристрою {deviceLabel}","Confirm transaction on {deviceLabel} device"
"TR_DETAILS_ARE_SHOWN_ON","Details are shown on display","","Details are shown on display","Details are shown on display","Details are shown on display","Details are shown on display","Details are shown on display","Details are shown on display","Details are shown on display","Details are shown on display","Details are shown on display","Details are shown on display","Details are shown on display","Details are shown on display","Details are shown on display","Details are shown on display","Details are shown on display","Details are shown on display","Details are shown on display","Details are shown on display","Details are shown on display","Details are shown on display","Details are shown on display","Details are shown on display","Details are shown on display","Подробности показаны на дисплее","Los detalles se muestran en la pantalla","Details are shown on display","Details are shown on display","Деталi показанi на дисплеї","Details are shown on display"
"TR_TO_LABEL","To","Label for recepeint's address","To","To","প্রতি","至","至","Na","Naar","To","To","À","An","Στο","אל","To","Címzett","Ke","All'","送信先:","대상:","Til","To","Do","Para","Кому","Para","Till","Alıcı","Кому","Đến"
"TR_SEND_LABEL","Send","Label for amount to be send","Send","Send","পাঠান","发送","發送","Odeslat","Verzenden","Send","Saada","Envoyer","Senden","Αποστολή","שליחה","Send","Küldés","Kirim","Invia","送信","보내기","Send","Send","Wyślij","Enviar","Отправить","Enviar","Skicka","Gönder","Надіслати","Gửi"
"TR_FEE_LABEL","Fee","Label above the fee used for transaction","Fee","Fee","ফি","手续费","Fee","Poplatek","Transactiekosten","Fee","Tasu","Frais","Gebühr","Προμήθεια","עמלה","Fee","TR. díj","Fee","Commissioni","手数料","수수료","Fee","Fee","Opłata","Taxa","Комиссия","Comisión","Avgift","Masraf","Комісія","Phí"
"TR_DEVICE_LABEL_IS_NOT_CONNECTED","Device {deviceLabel} is not connected","","Device {deviceLabel} is not connected","Device {deviceLabel} is not connected","Device {deviceLabel} is not connected","Device {deviceLabel} is not connected","Device {deviceLabel} is not connected","Device {deviceLabel} is not connected","Device {deviceLabel} is not connected","Device {deviceLabel} is not connected","Device {deviceLabel} is not connected","Device {deviceLabel} is not connected","Device {deviceLabel} is not connected","Device {deviceLabel} is not connected","Device {deviceLabel} is not connected","Device {deviceLabel} is not connected","Device {deviceLabel} is not connected","Device {deviceLabel} is not connected","Device {deviceLabel} is not connected","Device {deviceLabel} is not connected","Device {deviceLabel} is not connected","Device {deviceLabel} is not connected","Device {deviceLabel} is not connected","Device {deviceLabel} is not connected","Device {deviceLabel} is not connected","Устройство {deviceLabel} не подключено","El dispositivo {deviceLabel} no está conectado","Device {deviceLabel} is not connected","Device {deviceLabel} is not connected","Пристрій {deviceLabel} не під'єднан","Device {deviceLabel} is not connected"
"TR_DEVICE_LABEL_IS_NOT_BACKED_UP","Device {deviceLabel} is not backed up","","Device {deviceLabel} is not backed up","Device {deviceLabel} is not backed up","Device {deviceLabel} is not backed up","Device {deviceLabel} is not backed up","Device {deviceLabel} is not backed up","Device {deviceLabel} is not backed up","Device {deviceLabel} is not backed up","Device {deviceLabel} is not backed up","Device {deviceLabel} is not backed up","Device {deviceLabel} is not backed up","Device {deviceLabel} is not backed up","Device {deviceLabel} is not backed up","Device {deviceLabel} is not backed up","Device {deviceLabel} is not backed up","Device {deviceLabel} is not backed up","Device {deviceLabel} is not backed up","Device {deviceLabel} is not backed up","Device {deviceLabel} is not backed up","Device {deviceLabel} is not backed up","Device {deviceLabel} is not backed up","Device {deviceLabel} is not backed up","Device {deviceLabel} is not backed up","Device {deviceLabel} is not backed up","Устройство {deviceLabel} не имеет резервной копии","El dispositivo {deviceLabel} no tiene el backup hecho","Device {deviceLabel} is not backed up","Device {deviceLabel} is not backed up","Пристрій {deviceLabel} немає резервної копiї","Device {deviceLabel} is not backed up"
"TR_DEVICE_LABEL_IS_UNAVAILABLE","Device {deviceLabel} is unavailable","","Device {deviceLabel} is unavailable","Device {deviceLabel} is unavailable","Device {deviceLabel} is unavailable","Device {deviceLabel} is unavailable","Device {deviceLabel} is unavailable","Device {deviceLabel} is unavailable","Device {deviceLabel} is unavailable","Device {deviceLabel} is unavailable","Device {deviceLabel} is unavailable","Device {deviceLabel} is unavailable","Device {deviceLabel} is unavailable","Device {deviceLabel} is unavailable","Device {deviceLabel} is unavailable","Device {deviceLabel} is unavailable","Device {deviceLabel} is unavailable","Device {deviceLabel} is unavailable","Device {deviceLabel} is unavailable","Device {deviceLabel} is unavailable","Device {deviceLabel} is unavailable","Device {deviceLabel} is unavailable","Device {deviceLabel} is unavailable","Device {deviceLabel} is unavailable","Device {deviceLabel} is unavailable","Устройство {deviceLabel} недоступно","El dispositivo {deviceLabel} no está disponible","Device {deviceLabel} is unavailable","Device {deviceLabel} is unavailable","Пристрій {deviceLabel} є недоступний","Device {deviceLabel} is unavailable"
"TR_PLEASE_CONNECT_YOUR_DEVICE","Please connect your device to continue with the verification process","","Please connect your device to continue with the verification process","Please connect your device to continue with the verification process","Please connect your device to continue with the verification process","Please connect your device to continue with the verification process","Please connect your device to continue with the verification process","Please connect your device to continue with the verification process","Please connect your device to continue with the verification process","Please connect your device to continue with the verification process","Please connect your device to continue with the verification process","Please connect your device to continue with the verification process","Please connect your device to continue with the verification process","Please connect your device to continue with the verification process","Please connect your device to continue with the verification process","Please connect your device to continue with the verification process","Please connect your device to continue with the verification process","Please connect your device to continue with the verification process","Please connect your device to continue with the verification process","Please connect your device to continue with the verification process","Please connect your device to continue with the verification process","Please connect your device to continue with the verification process","Please connect your device to continue with the verification process","Please connect your device to continue with the verification process","Please connect your device to continue with the verification process","Пожалуйста, подключите устройство для продолжения процесса проверки","Por favor, conecte el dispositivo para poder continuar con el proceso de verificación","Please connect your device to continue with the verification process","Please connect your device to continue with the verification process","Будь ласка, підключіть пристрій щоб продовжити процес перевірки","Please connect your device to continue with the verification process"
"TR_PLEASE_ENABLE_PASSPHRASE","Please enable passphrase settings to continue with the verification process.","","Please enable passphrase settings to continue with the verification process.","Please enable passphrase settings to continue with the verification process.","Please enable passphrase settings to continue with the verification process.","Please enable passphrase settings to continue with the verification process.","Please enable passphrase settings to continue with the verification process.","Please enable passphrase settings to continue with the verification process.","Please enable passphrase settings to continue with the verification process.","Please enable passphrase settings to continue with the verification process.","Please enable passphrase settings to continue with the verification process.","Please enable passphrase settings to continue with the verification process.","Please enable passphrase settings to continue with the verification process.","Please enable passphrase settings to continue with the verification process.","Please enable passphrase settings to continue with the verification process.","Please enable passphrase settings to continue with the verification process.","Please enable passphrase settings to continue with the verification process.","Please enable passphrase settings to continue with the verification process.","Please enable passphrase settings to continue with the verification process.","Please enable passphrase settings to continue with the verification process.","Please enable passphrase settings to continue with the verification process.","Please enable passphrase settings to continue with the verification process.","Please enable passphrase settings to continue with the verification process.","Please enable passphrase settings to continue with the verification process.","Please enable passphrase settings to continue with the verification process.","Пожалуйста, активируйте настройки кодовой фразы для продолжения процесса проверки.","Por favor habilite la configuración de passphrase para poder continuar con el proceso de verificación.","Please enable passphrase settings to continue with the verification process.","Please enable passphrase settings to continue with the verification process.","Будь ласка, увімкніть настройки парольної фрази, щоб продовжити процес перевірки.","Please enable passphrase settings to continue with the verification process."
"TR_PLEASE_DISABLE_PASSPHRASE","Please disable passphrase settings to continue with the verification process.","","Please disable passphrase settings to continue with the verification process.","Please disable passphrase settings to continue with the verification process.","Please disable passphrase settings to continue with the verification process.","Please disable passphrase settings to continue with the verification process.","Please disable passphrase settings to continue with the verification process.","Please disable passphrase settings to continue with the verification process.","Please disable passphrase settings to continue with the verification process.","Please disable passphrase settings to continue with the verification process.","Please disable passphrase settings to continue with the verification process.","Please disable passphrase settings to continue with the verification process.","Please disable passphrase settings to continue with the verification process.","Please disable passphrase settings to continue with the verification process.","Please disable passphrase settings to continue with the verification process.","Please disable passphrase settings to continue with the verification process.","Please disable passphrase settings to continue with the verification process.","Please disable passphrase settings to continue with the verification process.","Please disable passphrase settings to continue with the verification process.","Please disable passphrase settings to continue with the verification process.","Please disable passphrase settings to continue with the verification process.","Please disable passphrase settings to continue with the verification process.","Please disable passphrase settings to continue with the verification process.","Please disable passphrase settings to continue with the verification process.","Please disable passphrase settings to continue with the verification process.","Пожалуйста, выключите использование кодовой фразы для продолжения процесса проверки.","Por favor desactive la configuración de passphrase para poder continuar con el proceso de verificación.","Please disable passphrase settings to continue with the verification process.","Please disable passphrase settings to continue with the verification process.","Будь ласка, вимкніть настройки парольної фрази, щоб продовжити процес перевірки.","Please disable passphrase settings to continue with the verification process."
